name,description,designer,artist,publisher,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,family,year,average_rating
Nicht die Bohne!,Add a Brief Description,Horst-Rainer Rösner,"Nikola Kucharska, Wei Li Ng, Björn Pertoft, Thomas Vuarchex, Zhong Zhun","AMIGO, Korea Boardgames Co., Ltd., Lifestyle Boardgames Ltd, Nasza Księgarnia, Oya",3.0,6.0,45.0,45.0,45.0,10.0,1.35,1100,315,Family,Card Game,"Simultaneous Action Selection, Trading",,1999.0,6.3
Fill or Bust,Add a Brief Description,(Uncredited),Christof Tisch,"ABACUSSPIELE, Bowman Games, Game Factory, GP Games + 2 more",2.0,10.0,30.0,30.0,30.0,8.0,1.16,662,218,Family,Dice,"Dice Rolling, Push Your Luck",Game: Farkle,1981.0,5.8
Dolce Vita,Add a Brief Description,Reiner Stockhausen,Doris Matthäus,Hans im Glück,3.0,5.0,30.0,30.0,30.0,10.0,1.69,200,70,Family,Card Game,Auction/Bidding,,1999.0,6.1
NASCAR Champions,Work with and against your opponents to get your cars to the checkered flag first.,Craig Van Ness,,Milton Bradley,2.0,5.0,30.0,30.0,30.0,8.0,1.1,106,61,Uncategorized,"Dice, Racing, Sports",Dice Rolling,Sports: Auto Racing,1998.0,5.5
Groo: The Game,Be the first to build a big town by playing 'building' cards that give victory points,"Sergio Aragonés, Ken Whitman",Sergio Aragonés,Archangel Studios,2.0,4.0,45.0,45.0,45.0,10.0,1.5,838,304,Thematic,"Card Game, City Building, Comic Book / Strip, Fantasy","Dice Rolling, Take That",,1997.0,6.3
Kremlin,Control the USSR politbureau as dying men step into dead men's shoes.,Urs Hostettler,"Res Brandenberger, Clay Gardner, Rasenjin Hayami, Charles Kibler, Ander Plana","The Avalon Hill Game Co, Fata Morgana Spiele, New Games Order, LLC",3.0,6.0,75.0,75.0,75.0,12.0,2.85,2900,942,"Strategy,  Thematic","Negotiation, Political",Voting,"Country: Soviet Union, Digital Implementations: Tabletopia",1986.0,7.0
HellRail: Second Perdition,Add a Brief Description,James Kyle,Angelo Porazzi,"Giochi Rari, Glastyn Games",3.0,4.0,75.0,75.0,75.0,13.0,2.0,95,38,Uncategorized,"Card Game, Trains, Transportation",Pick-up and Deliver,"Game: HellRail, Theme: Hell",1999.0,6.0
Buried Treasure,Add a Brief Description,Sid Sackson,"M. Löffler, Ron Zalme",F.X. Schmid,2.0,4.0,30.0,30.0,30.0,10.0,1.57,245,121,Family,"Card Game, Pirates",Set Collection,,1992.0,6.0
Entdecker,Map out the sea and lay claim to the islands your discover!,Klaus Teuber,"Andreas Steiner, Franz Vohwinkel","999 Games, Goldsieber Spiele, Mayfair Games",2.0,4.0,60.0,60.0,60.0,10.0,2.25,1500,425,"Family,  Strategy",Exploration,"Area Majority / Influence, Modular Board, Tile Placement","Components: Map (Regional scale), History: Age of Discovery",1996.0,6.4
Manhattan,Contribute the most stories to the highest skyscrapers to win.,Andreas Seyfarth,"Jacqui Davis, Jaqui Davis, Ramon Mascarenas, Monika Mucha, Zeilbeck & Natzeck Design Company","Hans im Glück, Mandoo Games + 17 more",2.0,4.0,45.0,45.0,45.0,10.0,1.92,5700,1500,Family,City Building,"Area Majority / Influence, Hand Management","Cities: New York (New York, USA), Components: 3-Dimensional (3D), Occupation: Architect, Theme: Construction",1994.0,6.7
The Rose King,Yorks and Lancasters square off in an ever shifting game of area control.,Dirk Henn,"Tanja Donner, Wanjin Gill, Anke Pohl, Thilo Rick + 2 more","db-Spiele, KOSMOS + 6 more",2.0,2.0,30.0,30.0,30.0,10.0,1.94,3600,915,Abstract,"Abstract Strategy, Medieval","Area Majority / Influence, Grid Movement, Hand Management, Move Through Deck, Pattern Building, + 4 more","Components: 9 x 9 Grids, Digital Implementations: Yucata, History: Wars of the Roses, Players: Two Player Only Games, Series: L.BOARD (Playte), Series: Two-player games (Kosmos)",1992.0,6.8
Skworms,Add a Brief Description,Scott Frisco,,Parker Brothers,2.0,4.0,30.0,30.0,30.0,6.0,1.0,7,6,Children's,"Action / Dexterity, Children's Game, Horror","Roll / Spin and Move, Take That",Animals: Worms,1997.0,4.0
Targui,Conquer and occupy the valuable desert grounds.,"Wil Dijkstra, Ben van Dijk","Wil Dijkstra, Ben van Dijk",Jumbo,2.0,4.0,120.0,120.0,120.0,12.0,2.38,765,200,"Strategy,  Wargames",Wargame,"Modular Board, Player Elimination","Animals: Camels, Components: 7 x 7 Grids, Theme: Deserts",1988.0,6.4
Stephenson's Rocket,It's the dawn of steam and pioneering rail companies compete and ultimately merge.,Reiner Knizia,"Doris Matthäus, Ian O'Toole, TANSAN Inc.","999 Games, Grail Games + 3 more",2.0,4.0,60.0,60.0,60.0,12.0,3.06,2900,1100,Strategy,"Trains, Transportation","Area Majority / Influence, Auction: Once Around, Chaining, End Game Bonuses, Grid Movement, + 6 more","Category: Combinatorial, Components: Map (Regional scale), Country: England, History: Industrial Revolution, Occupation: Engineer, Series: Cube Rails",1999.0,6.9
Jalape-NO!,Add a Brief Description,"Michael Kiesling, Wolfgang Kramer","Danny Aldana, Götz Wiedenroth","F.X. Schmid, Playte, テンデイズゲームズ(TendaysGames)",3.0,9.0,45.0,45.0,45.0,10.0,1.39,219,61,Uncategorized,Card Game,Trick-taking,,1998.0,6.1
Twitch,Add a Brief Description,"Skaff Elias, Richard Garfield, Jim Lin",(Uncredited),"AMIGO, Wizards of the Coast",3.0,6.0,15.0,15.0,15.0,10.0,1.17,182,70,Uncategorized,"Action / Dexterity, Card Game",,,1998.0,6.1
Ex & Hopp,Add a Brief Description,Rüdiger Dorn,Klaus Wilinski,"F.X. Schmid, Ravensburger",2.0,6.0,30.0,30.0,30.0,10.0,1.17,70,23,Uncategorized,Card Game,,,1996.0,5.4
Don Pepe,Add a Brief Description,Dominique Ehrhard,,"Game Office, Hasbro, Parker Brothers, ToyCo",3.0,6.0,30.0,30.0,30.0,8.0,1.3,544,152,Family,"Card Game, Mafia",,,1999.0,6.2
Times to Remember,Guess how close you can recall the year in which events of the 20th century happened.,Richard Borg,Tony Rochon,"Blackrock Games, Cocktail Games, Hasbro, MB Jeux + 2 more",2.0,10.0,45.0,45.0,45.0,10.0,1.13,242,100,Party,"Party Game, Trivia",,,1992.0,6.3
Café International,Find seats for the international crowd. Organize everyone well for big points!,Rudi Hoffmann,"Oliver Freudenreich, J. W. Thompson",AMIGO + 6 more,2.0,4.0,45.0,60.0,52.5,10.0,1.65,2800,740,Family,Abstract Strategy,"Hand Management, Pattern Building, Tile Placement","Components: 13 x 13 Grids, Digital Implementations: BrettspielWelt, Game: Café International",1989.0,6.2
Tichu,Be the first team to empty your hands in this popular partnership climbing card game.,Urs Hostettler,"Kerri Aitken, Christine Alcouffe, Res Brandenberger, François Bruel + 5 more",Fata Morgana Spiele + 14 more,4.0,4.0,60.0,60.0,60.0,10.0,2.34,15000,3700,Strategy,Card Game,"Hand Management, Ladder Climbing, Predictive Bid, Team-Based Game","Card Games: Climbing, Card Games: Outplay, Card Games: Shedding / Stops, Components: Traditional Playing Cards, Digital Implementations: Board Game Arena, Digital Implementations: BrettspielWelt, + 3 more",1991.0,7.6
Atlanteon,Mighty undersea warriors fight to control the capital of the Sunken Kingdoms.,Reiner Knizia,"Marko Djurdjević, Tobias Mannewitz, Scott Nicely, Brian Schomburg","ABACUSSPIELE, Esdevium, Fantasy Flight Games, Heidelberger Spieleverlag",2.0,2.0,30.0,30.0,30.0,12.0,2.03,741,377,Abstract,"Abstract Strategy, Napoleonic","Area Majority / Influence, Tile Placement, Variable Player Powers","Components: 5 x 5 Grids, Players: Two Player Only Games, Series: Fantasy Flight Silver Line, Theme: Under the Sea",1992.0,5.8
