name,designer,artist,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,year,average_rating
Am Fuß des Kilimandscharo,Reiner Knizia,Doris Matthäus,2,4,45,45,45,7,1.18,95,49,Family,"[""Children's Game""]","['Hand Management', 'Race', 'Take That']",1995.0,5.7
Jumbo Grand Prix,Reiner Knizia,(Uncredited),2,5,30,30,30,8,1.4,136,43,Family,['Card Game'],['Roll / Spin and Move'],1998.0,5.9
Sherlock Holmes: The Card Game,Roger Heyworth,Sidney Paget,3,8,60,60,60,10,1.49,612,215,Thematic,"['Card Game', 'Murder/Mystery', 'Novel-based']",['Roll / Spin and Move'],1991.0,6.2
Railway Rivals,David G. Watts,"Andrew Poole, David G. Watts",2,6,90,90,90,10,2.33,401,173,"Family,  Strategy","['Racing', 'Trains']",['Line Drawing'],1979.0,6.7
Ausgebremst,Wolfgang Riedesser,(Uncredited),3,6,45,45,45,10,1.59,251,109,"Family,  Strategy","['Racing', 'Sports']","['Hand Management', 'Modular Board', 'Race', 'Track Movement']",1993.0,6.9
Freibeuter,Reiner Stockhausen,(Uncredited),2,4,30,45,37,9,1.86,199,78,"Family,  Strategy","['Economic', 'Nautical', 'Pirates']","['Area Majority / Influence', 'Hand Management', 'Investment', 'Loans', 'Ownership', 'Variable Set-up']",1998.0,6.3
Magic: The Gathering,Richard Garfield,"Victor Adame, Miao Aili, Randis Albion, Rob Alexander + 505 more",2,2,20,20,20,13,3.25,39000,7700,Customizable,"['Card Game', 'Collectible Components', 'Fantasy', 'Fighting']","['Betting and Bluffing', 'Closed Drafting', 'Deck Construction', 'Hand Management', 'Income', '+ 4 more']",1993.0,7.6
Esels-Rennen,"Doris Matthäus, Frank Nestel",Doris Matthäus,2,6,15,15,15,8,1.17,121,39,Uncategorized,"['Animals', 'Racing']",['Betting and Bluffing'],1989.0,5.5
Billabong,Eric Solomon,"Klemens Franz, Ralf E. Kahlert, Alvin Madden, Franz Vohwinkel",2,4,30,30,30,10,1.9,893,303,"Abstract,  Family","['Abstract Strategy', 'Animals', 'Racing']","['Grid Movement', 'Race', 'Square Grid']",1992.0,6.8
Zankapfel,"Michael Hageböck, Ralf zur Linde",Axel Gesinn,3,6,60,60,60,12,2.0,69,21,Uncategorized,['Bluffing'],"['Commodity Speculation', 'Simultaneous Action Selection']",1993.0,6.3
Inkognito,"Leo Colovini, Alex Randolph","Peter Gifford, Studio Tapiro",3,5,90,90,90,10,2.16,3400,796,Family,"['Deduction', 'Spies/Secret Agents']","['Point to Point Movement', 'Roll / Spin and Move', 'Team-Based Game']",1988.0,6.6
Abracadabra,Neil Carr,(Uncredited),2,5,52,79,65,9,1.0,2,0,Uncategorized,['Animals'],['Roll / Spin and Move'],2005.7966974431818,5.5
Bohnanza Erweiterungs-Set,Uwe Rosenberg,Björn Pertoft,3,7,45,45,45,12,1.63,864,208,Family,"['Card Game', 'Expansion for Base-game', 'Farming', 'Negotiation']","['Hand Management', 'Set Collection', 'Trading']",1997.0,7.0
In Teufels Küche,Alex Randolph,(Uncredited),2,4,60,60,60,10,1.09,137,72,Children's,"['Bluffing', ""Children's Game"", 'Fantasy']",['Pick-up and Deliver'],1993.0,6.1
Road to the White House,Jim Musser,Bill Sanders,3,6,240,240,240,12,3.53,264,131,"Strategy,  Thematic",['Political'],['Roll / Spin and Move'],1992.0,6.2
Totem,"Philippe des Pallières, Patrice Pillet",François Bruel,2,4,90,90,90,10,2.36,122,39,Uncategorized,['Civilization'],['Roll / Spin and Move'],1995.0,5.5
Olé!,Wolfgang Panning,Franz Vohwinkel,3,8,30,30,30,8,1.43,260,80,Uncategorized,['Card Game'],['Hand Management'],1996.0,6.6
Cold War,"Lenny Glynn, John Prados","Ted Koller, James Talbot",4,4,180,180,180,12,2.87,230,116,Strategy,"['Economic', 'Negotiation', 'Political']",['Area Majority / Influence'],1984.0,6.2
Taj Mahal,Reiner Knizia,"Atha Kanaani, Bree Lindsoe, Franz Vohwinkel",2,5,45,90,67,12,2.99,7700,2400,Strategy,"['Bluffing', 'Political']","['Auction: Turn Order Until Pass', 'Auction/Bidding', 'Hand Management', 'Network and Route Building', 'Open Drafting', 'Set Collection']",2000.0,7.3
Mr. President,Jack Carmichael,(Uncredited),2,4,60,60,60,12,2.16,331,181,Strategy,"['Card Game', 'Political']",['Hand Management'],1967.0,6.6
The Broadway Game,Ernie Parmentier,(Uncredited),2,6,120,120,120,12,2.31,126,60,Uncategorized,"['Economic', 'Movies / TV / Radio theme']","['Roll / Spin and Move', 'Stock Holding']",1981.0,6.4
Citadels,Bruno Faidutti,"Cyrille Daujean, Julien Delval, Jesper Ejsing, Bruno Faidutti + 10 more",2,8,20,60,40,10,2.05,54000,10000,"Family,  Strategy","['Bluffing', 'Card Game', 'City Building', 'Deduction', 'Fantasy', 'Medieval']","['Action Drafting', 'Closed Drafting', 'Income', 'Lose a Turn', 'Set Collection', '+ 3 more']",2000.0,7.1
Bambuti,Hartmut Kommerell,Jürgen Martens,2,2,20,20,20,12,2.69,132,58,Uncategorized,['Card Game'],['Roll / Spin and Move'],1999.0,5.9
Age of Arguments,Martin Wallace,(Uncredited),4,4,120,120,120,9,2.5,14,8,"Strategy,  Wargames","['Age of Reason', 'Political', 'Wargame']","['Area Movement', 'Auction/Bidding']",1998.0,5.6
Carolus Magnus,Leo Colovini,(Uncredited),2,4,60,60,60,12,2.58,3600,1200,Strategy,"['Abstract Strategy', 'Medieval', 'Territory Building']","['Area Majority / Influence', 'Dice Rolling', 'Hand Management', 'Modular Board', 'Team-Based Game', '+ 2 more']",2000.0,6.8
Sky Runner,"Dan Glimne, Erik Karlsson, Joel Sevelin",Franz Vohwinkel,2,5,30,30,30,8,1.55,436,172,Family,['Racing'],"['Auction/Bidding', 'Hand Management', 'Simultaneous Action Selection']",1999.0,5.5
Diplomacy,Allan B. Calhamer,"Blake Beasley, Hugh Bredin, Vincent Dutrait, Gilles Lautussier + 3 more",2,7,360,360,360,12,3.34,13000,4600,"Strategy,  Wargames","['Bluffing', 'Negotiation', 'Political', 'Post-Napoleonic', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Negotiation', 'Player Elimination', ""Prisoner's Dilemma"", 'Simultaneous Action Selection']",1959.0,7.0
Stratego Legends,Craig Van Ness,(Uncredited),2,8,60,60,60,8,2.26,755,356,Customizable,"['Abstract Strategy', 'Bluffing', 'Collectible Components', 'Deduction', 'Fantasy', 'Memory']","['Memory', 'Modular Board', 'Rock-Paper-Scissors', 'Secret Unit Deployment', 'Variable Player Powers']",1999.0,5.8
Galloping Pigs,Heinz Meister,"Iskender Gider, Franz Vohwinkel",2,5,30,30,30,6,1.14,1100,400,Family,"['Animals', 'Card Game', ""Children's Game""]",['Roll / Spin and Move'],1992.0,5.8
