name,description,designer,artist,publisher,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,family,year,average_rating
Magic: The Gathering – The Brothers' War,Giant robots clash as the mechanized armies of Urza and Mishra march to war!,"Doug Beyer, Corey Bowen, Andrew Brown, Melissa DeTora + 13 more","Matt Cavotta, Steph Cheung, Jehan Choo, Daniel Corona + 12 more",Wizards of the Coast,2.0,8.0,,,,13.0,4.0,9,1,Uncategorized,"Card Game, Collectible Components, Expansion for Base-game, Fantasy, Fighting","Closed Drafting, Deck Construction, Hand Management, Income, Interrupts, + 2 more","Admin: Upcoming Releases, Game: Magic The Gathering, Setting: Dominaria (Magic: The Gathering), Theme: Archaeology / Paleontology, Theme: Mech Warfare, Theme: Robots, + 1 more",2022,7.4
Relative Insanity: Big Daddy's Expansion Pack #1,We've all got at least 1 crazy family member. If you don't know who...it's you!,Jeff Foxworthy,,PlayMonster,4.0,12.0,,,,14.0,,1,3,Uncategorized,"Expansion for Base-game, + 1 more","Connections, Deduction, Hand Management, Player Judge",,2019,5.5
Andor Junior: Mini-Erweiterung – Die Steine Des Schicksals,PnP mini-expansion with a new fantastic adventure for Andor Junior.,Michael Menzel,"Inka Brand, Markus Brand",KOSMOS,,,,,,,,3,1,Uncategorized,"Adventure, Fantasy, Fighting, Print & Play, Puzzle","Area Movement, Cooperative Game, Dice Rolling, Variable Player Powers","Game: Legends of Andor, Versions & Editions: Adult Versions of…",2020,7.8
,Control Nobles from your house and vie for control of lesser Nobles.,,Nicolás Eskubi,Multi-Man Publishing,2.0,2.0,,,,,2.0,1,1,Wargames,"Medieval, Wargame",Area Movement,"Admin: Upcoming Releases, History: Wars of the Roses",,7.0
Burger ASAP!,Compete against your friends to make the fastest burgers to order.,ましう (Mashiu),,"Blue Orange Games, Mixlore + 1 more",2.0,5.0,15.0,15.0,15.0,7.0,1.0,36,6,Uncategorized,"Card Game, Real-time","Matching, Ordering, Real-Time","Card Games: Matching, Food & Drink: Burgers",2022,6.7
Murder by Magic,A magical battle royale to save the world.,Joshua Mason,,Quirky Co.,2.0,4.0,20.0,20.0,20.0,8.0,,1,1,Uncategorized,"Fantasy, Fighting",Take That,"Admin: Upcoming Releases, Crowdfunding: Kickstarter",2022,7.0
A Herceg Nyer!,"Move competitors cooperatively of a running race, but the prince must win.",Győri Zoltán Gábor,András Baranyai,Pagony játék,1.0,5.0,30.0,30.0,30.0,8.0,2.33,24,6,Uncategorized,Children's Game,Cooperative Game,,2022,7.9
Griphold Tower,Make your final stand against waves of enemies in this in-hand tower defense game.,Joe Klipfel,,(Web published),1.0,1.0,20.0,30.0,25.0,8.0,2.0,8,8,Uncategorized,"Adventure, Fantasy, Print & Play",Solo / Solitaire Game,"Misc: No Table Needed, Players: Solitaire Only Games",2020,8.6
Hexian,A 2-players card-driven space shoot 'em up boardgame,Lucio Gozzi,,Nerdura Games,2.0,2.0,10.0,25.0,17.5,,,1,3,Uncategorized,"Card Game, Print & Play, Science Fiction",Grid Movement,,2022,10.0
War & Write II,Experience WWII in 30 minutes in this 2-5 player team-based wargame.,"Jay Bernardo, Wei-Cheng Cheng, Kun-Hang Lee",,TWOPLUS Games,2.0,5.0,30.0,60.0,45.0,8.0,1.75,32,13,Wargames,"Negotiation, Wargame, World War II","Action Points, Area Movement, Paper-and-Pencil, Team-Based Game","Admin: Upcoming Releases, Series: War & Write (Formosa Force Games)",2023,7.1
Spruance Leader: Carrier Expansion,Attack Soviet ships and subs by adding carrier forces to your fleet,Dean Brown,,Dan Verssen Games (DVG),1.0,1.0,45.0,120.0,82.5,,4.0,9,9,Uncategorized,"Expansion for Base-game, + 5 more","Deck Construction, Simulation, Solo / Solitaire Game","Country: Soviet Union, Country: USA, Crowdfunding: Kickstarter, History: Cold War, Players: Solitaire Only Card Games, Players: Solitaire Only Wargames, + 4 more",2022,8.2
Spruance Leader: Allies Expansion,Attack the Soviet fleet with ships from NATO countries,Dean Brown,,Dan Verssen Games (DVG),1.0,1.0,45.0,120.0,82.5,,3.0,9,7,Uncategorized,"Expansion for Base-game, + 5 more","Deck Construction, Simulation, Solo / Solitaire Game","Country: Soviet Union, Country: USA, Crowdfunding: Kickstarter, History: Cold War, Players: Solitaire Only Card Games, Players: Solitaire Only Games, + 5 more",2022,7.8
Galdor's Grip,Stop an evil telepath with just your hands in this fantasy card game for one player.,Gregg Jewell,"Gregg Jewell, Midjourney AI",(Web published),1.0,1.0,30.0,45.0,37.5,12.0,2.0,131,74,Strategy,"Card Game, Fantasy, Print & Play","Hand Management, Move Through Deck, Solo / Solitaire Game","Game: Galdor's Grip, Misc: No Table Needed, Players: Solitaire Only Card Games",2022,8.2
